area,house,road,block,ssarea,subarea 
"Baridhara","H","H","H","M","M"
"Dhanmondi","H","H","L","L","M"
"Dhaka Cantonment","H","M","L","L","H"
"Banasree","H","H","H","L","L"
"Bashundhara","H","H","H","L","L"
"Aftabnagar","H","H","H","L","M"
"Mohammadpur","H","H","M","M","M"
"Motijheel","H","H","L","M","M"
"Gulshan","H","H","L","L","L"
"Kalabagan","H","H","L","L","H"
"Maghbazar","H","M","L","M","M"
"Mirpur-$","H","H","H","M","H"
"Mirpur-$$","H","H","M","M","H"
"Mirpur-$$$","H","H","L","M","H"
"Mirpur-$$$$","H","M","L","M","H"
"Mohammadpur","H","H","M","M","M"
"Nikunja","H","H","L","L","M"
"Banani","H","H","M","L","L"
"Badda","H","M","L","L","M"
"Rampura","H","M","L","L","M"
"Tejgaon","H","M","L","M","M"
"Paltan","H","M","L","M","H"
"Vatara","H","M","M","M","H"
"Uttara","H","H","L","L","H"

